,Company name Latin alphabet,"NACE Rev. 2, core code (4 digits)",Last avail. year,"Operating revenue (Turnover)
th USD Last avail. yr","Number of employees
Last avail. yr","Operating revenue (Turnover)
m EUR Last avail. yr","Operating revenue (Turnover)
m USD Last avail. yr","Operating revenue (Turnover)
m EUR Year - 1","Operating revenue (Turnover)
m EUR Year - 2","Number of employees
Last avail. yr","Number of employees
Year - 1","Number of employees
Year - 2","EBITDA
th EUR Last avail. yr","EBITDA
th EUR Year - 1","EBITDA
th EUR Year - 2","EBITDA
th USD Year - 2","Operating profit (loss) [EBIT]
th EUR Last avail. yr","Operating profit (loss) [EBIT]
th EUR Year - 1","Operating profit (loss) [EBIT]
th EUR Year - 2",Entity type,"Geographic segment - Sales
m EUR","Geographic segment - Sales
m USD","Export revenue
th EUR Last avail. yr","Export revenue
th USD Last avail. yr","Export revenue
th EUR Year - 1","Export revenue
th USD Year - 1","Export revenue
th EUR Year - 2","Export revenue
th USD Year - 2","Export revenue / Operating revenue
Last avail. yr","Export revenue / Operating revenue
Year - 1","Export revenue / Operating revenue
Year - 2"
1.,A.J. DAHLBERG SLAKTERI AKTIEBOLAG,1011,2025,"138,561",155,119,139,111,95,155,155,132,"2,735","2,712","2,274","2,472","1,908","2,020","1,696",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2.,PLUKON BRENZ GMBH,1012,2023,"128,895",437,117,129,117,138,437,370,525,"4,523","3,020","-3,012","-3,411","2,138",690,"-5,396",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3.,DANISH CROWN DIVISION PORC,1011,2024,"127,454",128,114,127,112,86,128,n.a.,n.a.,"1,893","2,147","2,486","2,423","1,041","1,324","1,838",Controlled subs.,n.a.,n.a.,0,0,0,0,0,0,0.00,0.00,0.00
4.,WALKERS DELI & SAUSAGE CO,1011,2025,"127,188",700,108,127,n.a.,n.a.,700,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Single location,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
5.,MORRISONS,1011,2025,"127,188",700,108,127,n.a.,n.a.,700,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Single location,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
6.,JADEMO,1011,2024,"127,024",52,115,127,109,84,52,44,46,"4,791","5,679","8,425","8,425","3,940","5,173","7,973",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
7.,PICKSTOCK FOODS LTD,1011,2024,"125,921",152,116,126,96,81,152,146,114,"3,850","3,505","7,631","8,299","2,746","2,415","7,078",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
8.,ZAKLADY MIESNE ZAKRZEWSCY SP. Z O.O.,1011,2024,"123,738",148,119,124,74,5,148,78,n.a.,"-1,558","-3,471",-194,-207,"-4,143","-5,995",-194,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
9.,RZEZNIA DROBIU KONKOL SP. Z O.O.,1012,2024,"123,547",156,119,124,92,3,156,170,159,"4,590","2,045",113,120,"3,391","1,104",46,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
10.,LDC AQUITAINE,1012,2024,"121,869",234,117,122,120,116,234,n.a.,n.a.,"3,960","6,239","6,410","6,806","2,181","4,878","5,121",Controlled subs.,n.a.,n.a.,85,88,96,104,65,69,0.07,0.08,0.06
